UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,FAXTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,F1SYSCOD,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE
101365,"Herzing University-Birmingham","280 West Valley Ave","Birmingham","AL","35209", 1, 5,"Tommy Dennis","President","2059162800","2059162807","391040865","00962107",1,"www.herzing.edu/birmingham","www.herzing.edu/birmingham","www.herzing.edu/birmingham","www.herzing.edu/birmingham","www.herzing.edu/financial-aid/net-price-calculator",3,1,3,5,1,2,30,1,2,-2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",3,22,15,-1,5,2,6,40,2,1,13820,1,142,-2,1,"Herzing Inc.","302280",1073,"Jefferson County",107,-86.832299,33.468105
101435,"Huntingdon College","1500 East Fairview Avenue","Montgomery","AL","36106-2148", 1, 5,"J. Cameron West","President","3348334222","3348334347","630288841","00101900",1,"www.huntingdon.edu","www.huntingdon.edu/futureStudentsMain.aspx?id=1582","www.huntingdon.edu/futureStudents.aspx?id=1702","www.huntingdon.edu/futureStudentForm.aspx?ekfrm=4062","hawk.huntingdon.edu/oiac/netpricecalculator/npcalc.htm",2,1,2,5,1,2,30,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,9,-1,11,2,7,31,2,2,33860,1,-2,-2,2," ","-2",1101,"Montgomery County",102,-86.285313,32.350939
101453,"Heritage Christian University","3625 Helton Dr","Florence","AL","35630-9977", 1, 5,"Dennis Jones","President","2567666610","2567600981","237013287","02199700",1,"www.hcu.edu","www.hcu.edu/admissions","www.hcu.edu/financialaid","www.hcu.edu/admissions/applynow","www.hcu.edu/share/news/npcalc.htm",2,1,2,7,1,1,20,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,24,-2,-2,-2,5,-2,51,2,1,22520,1,-2,-2,2," ","-2",1077,"Lauderdale County",105,-87.662062,34.859089
101462,"J F Drake State Community and Technical College","3421 Meridian St N","Huntsville","AL","35811", 1, 5,"Helen T. McAlpine Ed.D.","President","2565398161","2565513142","631002142","00526000",1,"www.drakestate.edu","www.drakestate.edu/admissions.aspx","www.drakestate.edu/admissions/financial_aid.aspx","www.drakestate.edu/admissions/admissions_application.aspx","www.drakestate.edu/admissions/net_price_calculator.aspx",4,2,1,3,1,2,40,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Drake State",4,1,1,-1,2,1,2,40,2,2,26620,1,290,-2,1,"Alabama Community College System","101030",1089,"Madison County",105,-86.573817,34.772116
101471,"J F Ingram State Technical College","5375 Ingram Rd","Deatsville","AL","36022", 1, 5,"Hank Dasinger","President","33428551773249","3345144050","630506768","03002500",5,"www.istc.edu"," "," "," ","nces.ed.gov/ipeds/netpricecalculator/Npc_2.aspx",4,2,1,3,1,2,40,1,2,2,2,2,21,0,"A ",-2,-2,"-2",1,1,2,6,1,"ISTC",4,1,1,-1,3,1,2,40,2,1,33860,1,-2,-2,1,"Alabama Community College System","101030",1051,"Elmore County",102,-86.392369,32.582312
101480,"Jacksonville State University","700 Pelham Road North","Jacksonville","AL","36265", 1, 5,"William Meehan","President","2567825781","2567828146","636001099","00102000",1,"www.jsu.edu/","www.jsu.edu/admissions/","www.jsu.edu/finaid/","www.jsu.edu/admissions/forms.html","www.jsu.edu/finaid/",1,1,1,9,1,1,12,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,13,4,6,3,12,21,2,3,11500,1,-2,-2,2," ","-2",1015,"Calhoun County",103,-85.766644,33.822128
101499,"Jefferson Davis Community College","220 Alco Dr","Brewton","AL","36426", 1, 5,"Dr. Daniel A. Bain","President","2518674832","2518091548","630502384","00102100",1,"www.jdcc.edu","www.jdcc.edu/admissions/","www.jdcc.edu/finaid/","www.jdcc.edu/applyonline/","www.jdcc.edu/netpricecalculator/",4,2,1,3,1,2,40,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1,"JDCC",4,1,1,-1,2,1,2,40,2,2,-2,-2,-2,-2,1,"Alabama Community College System","101030",1053,"Escambia County",101,-87.085829,31.101995
101505,"Jefferson State Community College","2601 Carson Rd","Birmingham","AL","35215-3098", 1, 5,"Dr. Judy Merritt","President","2058531200","2058567928","630501357","00102200",1,"www.jeffstateonline.com","www.jeffstateonline.com/enroll","www.jeffstateonline.com/financial/","www.jeffstateonline.com/enroll/become/application-instructions/","www.jeffstateonline.com/financial/tuition/net-price-calculator/",4,2,1,3,1,2,40,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Jeff State | JSCC | Jefferson State",4,7,1,-1,1,1,4,40,2,3,13820,1,142,-2,1,"Alabama Community College System","101030",1073,"Jefferson County",106,-86.707387,33.652439
101514,"John C Calhoun State Community College","6250 U S Highway 31 N","Tanner","AL","35671", 1, 5,"Dr. Marilyn C. Beck","President","2563062500","2563062877","630505871","00101300",1,"www.calhoun.edu","www.calhoun.edu/admissions.aspx","www.calhoun.edu/student_services/student_financial_services.aspx","banssb.calhoun.edu/PROD/twbkwbis.P_GenMenu?name=homepage","calhoun.studentaidcalculator.com/",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1,"Calhoun Community College",4,3,1,-1,2,1,4,40,2,4,26620,1,290,-2,1,"Alabama Community College System","101030",1083,"Limestone County",105,-86.949131,34.654280
101541,"Judson College","302 Bibb St","Marion","AL","36756", 1, 5,"David E Potts","President","3346835100","3346835147","630288850","00102300",1,"www.judson.edu","www.judson.edu","www.judson.edu","www.judson.edu","www.judson.edu",2,1,2,5,1,2,30,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,21,3,-1,8,2,7,31,2,1,-2,-2,-2,-2,2," ","-2",1105,"Perry County",107,-87.316127,32.630526
101569,"Lawson State Community College-Birmingham Campus","3060 Wilson Rd SW","Birmingham","AL","35221-1717", 1, 5,"Perry W Ward","President","2059252515","2059231649","630641064","00105900",1,"www.lawsonstate.edu","www.lawsonstate.edu/Admissions/index.html","www.lawsonstate.edu/FinancialAid/index.html","www.lawsonstate.edu/Admissions/instructions.html","www.lawsonstate.edu/financialaid/npc/npcalc.htm",4,2,1,3,1,2,40,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,7,1,-1,2,1,3,40,2,2,13820,1,142,-2,1,"Alabama Community College System","101030",1073,"Jefferson County",107,-86.890234,33.451673
101587,"University of West Alabama","Station One","Livingston","AL","35470", 1, 5,"Dr. Richard Holland","President","2056523400","2056523708","636001100","00102400",1,"www.uwa.edu","www.uwa.edu/Admissions/","www.uwa.edu/financial_aid.aspx","www.uwa.edu/apply_now.aspx","secure.uwa.edu/calculator/npcalc.htm",1,1,1,8,1,1,20,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,10,1,8,5,13,21,2,2,-2,-2,-2,-2,2," ","-2",1119,"Sumter County",107,-88.186077,32.592440
101602,"Lurleen B Wallace Community College","1000 Dannelly Blvd.","Andalusia","AL","36420-1418", 1, 5,"Herbert H. J. Riedel, Ph.D.","President","3342226591","3348812300","630576487","00898800",1,"www.lbwcc.edu","www.lbwcc.edu/student_services/admissions.aspx","www.lbwcc.edu/financial_aid.aspx","www.lbwcc.edu/Uploads/users/589/files/LBWCC_Application_Layout%201.pdf","www.lbwcc.edu/financial_aid/2010-2011_net_price_calculator.aspx",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1,"Lurleen B. Wallace Community College |LBW Community College |LBWCC",4,1,1,-1,3,1,2,40,2,2,-2,-2,-2,-2,1,"Alabama Community College System","101030",1039,"Covington County",102,-86.452262,31.322947
101648,"Marion Military Institute","1101 Washington St","Marion","AL","36756-3207", 1, 5,"Col David J. Mollahan","President","8006641842","3346832383","630288853","00102600",1,"www.marionmilitary.edu","www.marionmilitary.edu/admissions/index.da","marionmilitary.edu/admissions/admissions-financial.da","marionmilitary.edu/admissions/admissions-apply.da","www.marionmilitary.edu/admissions/netcalc/npcalc.htm",4,2,1,3,1,2,40,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,1,1,-1,4,1,1,40,2,1,-2,-2,-2,-2,1,"Alabama Community College System","101030",1105,"Perry County",107,-87.317998,32.622359
101675,"Miles College","5500 Myron Massey Blvd","Fairfield","AL","35064-2621", 1, 5,"George T. French, Jr.","President","20592910001645","2059291426","630400608","00102800",1,"www.miles.edu","miles.edu","miles.edu","miles.edu","miles.edu",2,1,2,5,1,2,30,1,1,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,15,-1,9,2,10,32,2,2,13820,1,142,-2,2," ","-2",1073,"Jefferson County",107,-86.908605,33.481306
101693,"University of Mobile","5735 College Parkway Drive","Mobile","AL","36613-2842", 1, 5,"Mark Foley","President","2516755990","2514422523","630417508","00102900",1,"www.umobile.edu","www.umobile.edu/admissions/","www.umobile.edu/financialaid/","www.umobile.edu/Admissions/Undergraduate/ApplyNow.aspx","tcc.noellevitz.com/(S(i2ma5wzihnqpsazmq43fszpq))/University%20of%20Mobile/Freshman-Students",2,1,2,7,1,1,20,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,10,6,11,3,10,21,2,2,33660,1,380,-2,2," ","-2",1097,"Mobile County",101,-88.128934,30.793247
101709,"University of Montevallo","Station 6001","Montevallo","AL","35115-6000", 1, 5,"John W. Stewart III","President","2056656155"," ","636000720","00100400",1,"www.montevallo.edu","www.montevallo.edu/admissions/","www.montevallo.edu/finaid/","www.montevallo.edu/admissions/ApplicationProcess/","www.montevallo.edu/finaid/NetPriceCalculator/",1,1,1,8,1,1,20,1,2,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,19,10,6,10,4,10,21,2,2,13820,1,142,-2,2," ","-2",1117,"Shelby County",106,-86.865099,33.106250
101736,"Northwest-Shoals Community College","800 George Wallace Blvd","Muscle Shoals","AL","35661", 1, 5,"Humphrey Lee","President","2563315200","2563315222","630513822","00569700",1,"www.nwscc.edu","www.nwscc.edu/contactus.html","www.nwscc.edu/financialaid/financialaid.html","www.nwscc.edu/contactus.html","nwscc.edu/financialaid/netpricecalculator/npcalc.htm",4,2,1,3,1,2,40,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,2,1,-1,2,1,3,40,2,2,22520,1,-2,-2,1,"Alabama Community College System","101030",1033,"Colbert County",104,-87.677330,34.739567
101879,"University of North Alabama","One Harrison Plaza","Florence","AL","35632-0001", 1, 5,"Wm. G. Cale, Jr.","President","2567654100","2567654960","636000893","00101600",1,"www.una.edu","www.una.edu/admission","www.una.edu/sfins","https://www.applyweb.com/aw?una","studentnpc.collegeboard.org/",1,1,1,8,1,1,20,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,13,7,11,4,12,21,2,3,22520,1,-2,-2,2," ","-2",1077,"Lauderdale County",105,-87.680999,34.806580
101897,"Northeast Alabama Community College","138  Highway 35","Rainsville","AL","35986", 1, 5,"J. David Campbell","President","20563844182201","2562286861","630504999","00103100",1,"www.nacc.edu","www.nacc.edu","www.nacc.edu","www.nacc.edu","www.nacc.edu",4,2,1,3,1,2,40,1,2,2,2,2,42,1,"A ",-2,-2,"-2",1,1,1,1,1,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",4,2,1,-1,2,1,3,40,2,2,42460,2,174,-2,1,"Alabama Community College System","101030",1071,"Jackson County",105,-85.911664,34.545471
101912,"Oakwood University","7000 Adventist Blvd NW","Huntsville","AL","35896", 1, 5,"Leslie Pollard","President","2567267000"," ","630366652","00103300",1,"www.oakwood.edu","www.oakwood.edu/admissions","www.oakwood.edu/services/financial-aid","https://my.oakwood.edu/ics/Admissions/Admissions_Homepage.jnz?portlet=Apply_For_Admissions","www.oakwood.edu/campus-services/financial-aid",2,1,2,7,1,1,20,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,9,-1,9,3,11,32,2,2,26620,1,290,-2,2," ","-2",1089,"Madison County",105,-86.661628,34.756628
